City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
340,Aksu,41.1231,80.2644,76.53,44,73,3.85,CN,2022-08-02 21:19:04,broken clouds
341,Lethem,3.3803,-59.7968,82.71,80,88,4.27,GY,2022-08-02 21:19:05,overcast clouds
342,Guerrero Negro,27.9769,-114.0611,80.96,52,100,18.9,MX,2022-08-02 21:19:05,overcast clouds
343,Mujiayingzi,42.1167,118.7833,71.87,79,91,6.78,CN,2022-08-02 21:19:05,overcast clouds
344,Fort Nelson,58.8053,-122.7002,69.44,48,68,9.71,CA,2022-08-02 21:15:07,broken clouds
345,Panguna,-6.3164,155.4848,71.82,84,25,2.44,PG,2022-08-02 21:19:06,scattered clouds
346,Matias Romero,16.8833,-95.0333,85.03,66,35,14.65,MX,2022-08-02 21:19:06,scattered clouds
347,Vanavara,60.34,102.2797,58.15,97,100,6.67,RU,2022-08-02 21:19:07,light rain
348,Berlevag,70.8578,29.0864,64.2,94,75,8.05,NO,2022-08-02 21:18:24,broken clouds
349,Luderitz,-26.6481,15.1594,54.32,80,0,0.85,NA,2022-08-02 21:19:07,clear sky
350,Coquimbo,-29.9533,-71.3436,53.33,76,100,4.61,CL,2022-08-02 21:19:08,overcast clouds
351,Ponta Do Sol,32.6667,-17.1,72.72,81,6,6.64,PT,2022-08-02 21:19:08,clear sky
352,Aguadilla,18.4275,-67.1541,86.65,81,100,12.66,PR,2022-08-02 21:19:08,overcast clouds
353,Buraydah,26.326,43.975,99.05,34,23,8.61,SA,2022-08-02 21:19:09,few clouds
354,Pringsewu,-5.3582,104.9744,73.26,97,98,2.35,ID,2022-08-02 21:19:09,overcast clouds
355,Ucluelet,48.9329,-125.5528,61.09,87,97,1.01,CA,2022-08-02 21:19:10,overcast clouds
356,Santa Cruz Del Norte,23.1539,-81.9236,85.6,73,3,17.38,CU,2022-08-02 21:19:10,clear sky
357,Jumla,29.2747,82.1838,63.05,98,100,0.43,NP,2022-08-02 21:19:10,overcast clouds
358,Bambanglipuro,-7.95,110.2833,74.3,94,89,3.31,ID,2022-08-02 21:20:11,overcast clouds
359,Yaring,6.8662,101.3689,75.97,92,100,6.11,TH,2022-08-02 21:20:11,moderate rain
360,Katangli,51.7102,143.2326,55.09,94,100,7.94,RU,2022-08-02 21:20:11,light rain
361,Dingle,10.9995,122.6711,75.79,89,96,4.85,PH,2022-08-02 21:20:12,overcast clouds
362,Kovdor,67.5662,30.4758,55.51,96,100,3.53,RU,2022-08-02 21:20:12,light rain
363,Biloela,-24.4167,150.5,56.82,91,8,2.04,AU,2022-08-02 21:20:13,clear sky
364,Codrington,-38.2667,141.9667,54.66,72,79,20.6,AU,2022-08-02 21:20:13,broken clouds
365,Hualmay,-11.0964,-77.6139,65.43,72,10,12.55,PE,2022-08-02 21:20:14,clear sky
366,Yacuiba,-22.038,-63.6797,82.11,42,2,4.29,BO,2022-08-02 21:20:14,clear sky
367,Durango,24.8333,-104.8333,80.13,30,93,6.35,MX,2022-08-02 21:15:36,overcast clouds
368,Maldonado,-34.6667,-54.9167,58.39,87,81,6.2,UY,2022-08-02 21:20:15,broken clouds
369,Rio Gallegos,-51.6226,-69.2181,39.25,81,0,0.0,AR,2022-08-02 21:17:27,clear sky
370,Saldanha,-33.0117,17.9442,55.45,90,31,10.22,ZA,2022-08-02 21:20:15,scattered clouds
371,Shangrao,28.4532,117.9686,77.27,84,34,2.89,CN,2022-08-02 21:20:16,scattered clouds
372,Ponnani,10.767,75.9252,72.72,96,100,19.69,IN,2022-08-02 21:20:16,overcast clouds
373,Martaban,16.5314,97.6111,76.78,92,93,4.65,MM,2022-08-02 21:20:17,overcast clouds
374,Sinjar,36.3209,41.8754,93.36,23,0,12.26,IQ,2022-08-02 21:20:17,clear sky
375,Madang,-5.2246,145.7966,76.98,90,100,3.0,PG,2022-08-02 21:19:18,overcast clouds
376,Sao Felix Do Xingu,-6.6447,-51.995,82.47,51,100,1.54,BR,2022-08-02 21:20:17,overcast clouds
377,Bazna,46.2,24.2833,68.02,59,51,3.8,RO,2022-08-02 21:20:18,broken clouds
378,Vostok,46.4856,135.8833,66.4,81,90,3.74,RU,2022-08-02 21:20:18,overcast clouds
379,Port Augusta,-32.5,137.7667,55.76,82,75,10.89,AU,2022-08-02 21:20:19,broken clouds
380,Urucara,-2.5364,-57.76,83.48,68,99,2.3,BR,2022-08-02 21:20:19,light rain
381,Minggang,32.4586,114.0486,79.99,80,0,2.51,CN,2022-08-02 21:20:20,clear sky
382,Vao,-22.6667,167.4833,73.17,85,65,8.63,NC,2022-08-02 21:20:20,broken clouds
383,La Suiza,9.8524,-83.6133,71.02,99,100,2.73,CR,2022-08-02 21:20:21,overcast clouds
384,Paita,-5.0892,-81.1144,69.33,73,28,14.9,PE,2022-08-02 21:20:21,scattered clouds
385,Keti Bandar,24.1447,67.4497,81.91,84,100,14.16,PK,2022-08-02 21:20:22,overcast clouds
386,Pangody,65.85,74.4859,52.65,71,15,5.39,RU,2022-08-02 21:20:22,few clouds
387,Atasu,48.6814,71.6433,67.53,62,95,9.17,KZ,2022-08-02 21:20:22,overcast clouds
388,Kamenka,51.3223,42.7678,68.0,55,73,12.15,RU,2022-08-02 21:20:23,broken clouds
389,Peniche,39.3558,-9.3811,69.3,88,96,15.35,PT,2022-08-02 21:20:23,overcast clouds
